,price_int
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,0
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,1
359,1
360,0
361,0
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,1
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,0
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,1
494,0
495,0
496,1
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,1
513,0
514,0
515,0
516,0
517,1
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,0
531,0
532,1
