,absences,failures,grade1,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,activities,nursery,internet,romantic,school_gp,address_urban,famsize_gt3,Pstatus_togethor,sex_female,health_mjob,other_mjob,services_mjob,teacher_mjob,health_fjob,other_fjob,services_fjob,teacher_fjob,home_reason,other_reason,reputation_reason,mother_guardian,other_guardian
0,12,0,15,1,1,3,2,1,1,4,5,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,2,0,17,1,2,5,3,4,1,3,3,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2,0,2,9,2,1,4,4,5,3,5,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
3,4,0,14,2,2,4,4,3,1,1,3,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4,2,0,12,2,1,4,3,2,1,4,5,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
5,2,0,11,2,1,3,3,4,4,5,4,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
6,6,0,11,2,2,1,1,1,1,1,5,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
7,0,0,13,2,1,1,5,1,3,5,5,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
8,10,0,7,1,2,4,4,4,1,1,5,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0
9,4,0,9,3,2,3,4,5,1,2,5,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
10,0,0,12,1,1,4,3,3,1,3,5,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11,6,0,16,1,2,4,3,3,1,3,5,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
12,7,0,6,3,1,4,4,3,2,2,5,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
13,0,0,11,1,2,4,3,3,2,3,5,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
14,4,0,8,1,2,4,3,4,1,2,2,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
15,20,1,9,3,2,5,2,4,1,4,5,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16,14,2,6,1,1,1,2,2,1,3,5,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
17,2,0,11,1,2,4,4,4,3,3,5,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
18,11,0,12,1,1,4,3,3,1,2,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
19,0,1,8,3,1,5,2,1,1,2,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
20,0,0,8,1,1,3,1,3,1,3,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
21,0,0,13,1,2,5,2,5,1,1,5,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
22,0,0,12,1,2,3,3,4,1,1,4,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
23,6,0,10,4,4,1,3,5,3,5,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
24,2,0,8,1,2,3,3,2,1,1,3,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
25,2,0,14,2,1,3,3,2,1,3,3,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
26,0,0,13,2,3,4,2,2,2,2,5,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
27,24,1,18,2,1,4,2,4,2,3,2,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
28,4,0,15,1,1,2,2,4,2,4,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
29,4,0,10,2,1,5,4,4,2,3,5,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
30,11,0,12,1,2,4,3,2,1,4,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
31,2,0,9,1,2,4,3,2,1,1,5,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32,2,0,12,1,3,4,4,2,1,2,4,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
33,0,0,13,2,1,5,3,3,1,1,3,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
34,0,0,14,1,4,2,2,1,1,1,5,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
35,10,0,16,1,2,4,4,4,1,2,5,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
36,0,0,11,1,2,4,5,2,1,2,3,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0
37,0,0,13,2,2,3,2,2,1,2,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
38,4,0,12,1,1,5,3,4,1,2,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
39,10,0,10,1,2,5,4,5,1,3,5,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
40,4,0,12,3,1,4,2,3,3,4,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
41,4,3,6,2,1,3,2,1,1,1,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
42,0,1,12,3,1,4,3,2,1,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,0,0,13,1,3,4,3,3,2,2,3,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
44,2,0,11,2,1,3,3,3,1,1,4,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
45,8,0,15,1,2,3,2,2,1,1,5,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
46,2,0,15,2,2,4,3,1,1,1,5,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
47,0,0,9,2,1,5,2,1,1,3,4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
48,8,0,8,3,1,5,5,5,5,5,3,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
49,2,0,10,1,3,3,4,4,2,4,4,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
50,6,0,11,2,1,3,4,4,3,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51,2,0,12,1,2,5,3,3,1,3,3,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
52,0,0,13,2,1,5,4,2,1,1,5,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
53,0,0,16,1,2,4,4,2,5,5,4,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
54,8,1,10,3,2,5,4,4,3,3,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
55,0,0,14,1,3,5,4,5,2,3,5,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
56,0,1,10,2,4,5,4,5,3,4,5,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,2,0,14,1,1,3,4,4,3,3,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
58,0,0,11,1,1,5,3,4,2,2,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
59,0,0,15,1,2,4,2,3,1,2,5,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
60,0,3,8,4,1,4,5,5,2,5,5,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
61,4,0,0,2,2,4,3,4,1,1,3,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
62,8,0,12,2,1,3,2,4,1,4,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
63,8,0,12,2,1,3,3,3,1,2,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
64,0,0,13,1,3,5,3,2,1,1,5,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
65,6,0,12,2,2,4,4,4,2,3,5,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
66,2,0,10,1,2,4,3,2,1,1,5,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
67,4,0,8,2,2,1,3,1,1,1,2,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
68,16,0,11,2,2,4,3,5,1,1,2,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
69,12,0,16,2,4,4,4,2,2,3,3,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
70,10,0,11,2,3,4,2,2,2,3,5,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
71,0,1,7,2,1,5,4,3,4,3,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
72,8,1,8,1,2,2,3,2,1,3,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
73,14,0,12,1,2,1,2,2,1,2,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
74,14,0,6,1,1,3,5,5,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
75,8,0,10,1,1,5,4,4,3,4,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
76,7,0,14,1,1,5,4,5,1,1,3,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
77,4,0,10,2,2,4,4,4,4,4,4,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
78,6,0,10,2,2,4,3,3,1,4,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,0,0,8,1,2,4,4,5,1,3,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
80,4,0,10,3,3,5,2,2,1,1,4,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
81,4,0,16,1,1,4,5,5,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0
82,4,2,7,2,2,4,4,4,1,4,3,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
83,0,3,8,2,2,3,5,4,1,4,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,4,1,6,2,1,4,4,3,1,2,2,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
85,0,0,13,2,2,3,4,4,1,4,5,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0
86,0,0,15,1,2,4,3,2,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
87,12,1,11,2,2,4,4,2,1,1,3,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
88,2,0,11,1,2,4,4,4,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
89,10,0,7,1,1,5,3,4,1,4,4,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
90,4,0,11,1,2,3,4,3,2,3,3,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
91,2,0,11,2,2,4,2,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
92,16,1,9,1,2,5,3,3,1,1,4,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
93,0,0,16,3,2,4,3,4,1,4,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
94,11,0,16,1,2,4,3,3,1,3,5,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
95,21,2,9,2,2,5,3,3,5,2,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
96,1,0,13,1,2,5,4,3,3,4,2,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
97,18,0,14,1,1,3,4,4,1,4,5,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
98,2,0,14,1,1,3,4,3,1,2,4,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
99,4,0,13,1,3,4,3,3,1,1,5,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
100,5,0,13,1,3,4,3,4,1,1,3,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
101,22,0,11,2,1,4,5,4,2,4,5,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
102,0,0,17,1,2,2,4,4,2,3,4,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
103,0,0,7,2,3,5,3,4,1,1,5,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0
104,4,2,7,1,1,3,2,5,2,5,5,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
105,16,0,10,2,2,4,4,4,4,5,5,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
106,8,0,10,1,2,5,3,4,1,1,4,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
107,4,0,11,1,2,4,3,4,1,4,4,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
108,0,0,11,1,2,5,4,4,3,4,5,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
109,5,0,7,2,1,4,4,3,1,3,5,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
110,0,0,16,1,2,5,4,4,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
111,6,0,12,1,2,4,3,2,2,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
112,6,0,12,2,2,4,4,2,1,1,3,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
113,16,0,10,1,2,4,4,5,5,5,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
114,22,1,13,2,2,4,2,2,1,2,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
115,10,1,11,2,1,2,5,5,5,5,5,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
116,4,0,11,1,2,5,3,3,1,1,5,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
117,16,0,11,1,2,4,3,5,3,3,5,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
118,0,0,13,2,1,5,3,3,1,1,3,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
119,9,0,9,1,3,4,3,4,1,1,5,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
120,2,0,13,2,3,4,3,3,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
121,2,0,9,1,2,5,3,3,1,1,3,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
122,3,0,11,2,1,5,1,2,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
123,4,0,12,2,2,4,3,3,1,2,5,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
